id;display_name;email;mobile;kyc_status;status
1;absentmindedly;Lyla.Bayer65@yahoo.com;blah searchingly jaggedly;APPROVED;INACTIVE
2;yum;Makayla_Homenick68@yahoo.com;after what um;APPROVED;ACTIVE
3;headline equally cook;Justus67@yahoo.com;where blight inwardly;REJECTED;SUSPENDED
4;athwart design quarrelsomely;Jace.Fritsch@yahoo.com;vast knottily atop;PENDING;ACTIVE
5;yippee;Monte11@yahoo.com;during boo;APPROVED;ACTIVE
6;finally for unto;Gerardo.Wuckert23@hotmail.com;around;PENDING;ACTIVE
7;rejigger;Jaron_Schuppe23@gmail.com;acclaimed;APPROVED;INACTIVE
8;regarding;Anjali.Kihn@hotmail.com;mantua;PENDING;INACTIVE
9;apropos scheme against;Shayne23@hotmail.com;fully abaft duh;PENDING;ACTIVE
10;provided;Rafael_OKon67@gmail.com;story;PENDING;SUSPENDED
